"E","Sz","mx","my"
-10.899250054982812,-3.0,5,1
-10.631535792158365,-3.0,5,1
-10.62495359331379,-3.0,5,1
-12.2091187429852,-3.0,5,2
-11.778036311195851,-3.0,5,2
-11.099938022436838,-3.0,5,2
-10.861604616548014,-3.0,5,2
-10.695377089378228,-3.0,5,2
-10.634428937600774,-3.0,5,2
-12.136296782100693,-3.0,5,3
-11.39298838756487,-3.0,5,3
-11.08685155798633,-3.0,5,3
-10.899250054982831,-3.0,5,3
-10.631535793366135,-3.0,5,3
-10.624953595460305,-3.0,5,3
-12.527598432911027,-4.0,0,0
-10.119117572941585,-4.0,0,0
-9.630869799578534,-4.0,0,0
-9.341007455555287,-4.0,0,0
-9.215484872314128,-4.0,0,0
-9.169595691490667,-4.0,0,0
-10.785376942863142,-4.0,0,1
-9.553336951986806,-4.0,0,1
-9.538755903680956,-4.0,0,1
-9.318804270420602,-4.0,0,1
-9.179252627027688,-4.0,0,1
-9.145289759395547,-4.0,0,1
-10.488173419625154,-4.0,0,2
-9.72474876159583,-4.0,0,2
-9.71935301062202,-4.0,0,2
-9.61970685641514,-4.0,0,2
-9.221353010748588,-4.0,0,2
-9.148833970300872,-4.0,0,2
-10.785376942863156,-4.0,0,3
-9.553336951986777,-4.0,0,3
-9.53875590368096,-4.0,0,3
-9.31880427042064,-4.0,0,3
-9.179252626810333,-4.0,0,3
-9.145289756835087,-4.0,0,3
-11.230860895558934,-4.0,1,0
-9.817557999492127,-4.0,1,0
-9.441294797741778,-4.0,1,0
-9.256120972899414,-4.0,1,0
-9.142057146443108,-4.0,1,0
-9.108845459299062,-4.0,1,0
-10.624953597180326,-4.0,1,1
-9.747837025763532,-4.0,1,1
-9.535417788732143,-4.0,1,1
-9.312396182267504,-4.0,1,1
-9.30943873217055,-4.0,1,1
-9.0365748605196,-4.0,1,1
-10.57430095637773,-4.0,1,2
-9.740703181929666,-4.0,1,2
-9.537334022519001,-4.0,1,2
-9.427697493202068,-4.0,1,2
-9.14014554117526,-4.0,1,2
-9.055414191178027,-4.0,1,2
-10.624953597180316,-4.0,1,3
-9.747837025763584,-4.0,1,3
-9.53541778873217,-4.0,1,3
-9.312396182267493,-4.0,1,3
-9.309438732170545,-4.0,1,3
-9.036574860398323,-4.0,1,3
-10.699696926047405,-4.0,2,0
-10.289921627284231,-4.0,2,0
-9.88174699464674,-4.0,2,0
-9.638999389395591,-4.0,2,0
-9.242658198362395,-4.0,2,0
-9.181611520664728,-4.0,2,0
-10.611085841348896,-4.0,2,1
-9.916506216237542,-4.0,2,1
-9.404828558164606,-4.0,2,1
-9.383315029685576,-4.0,2,1
-9.135827334259815,-4.0,2,1
-9.039251960815246,-4.0,2,1
-10.777520700426408,-4.0,2,2
-9.50222393392607,-4.0,2,2
-9.465133696929765,-4.0,2,2
-9.411740009997208,-4.0,2,2
-9.335817910545229,-4.0,2,2
-9.226225448498804,-4.0,2,2
-10.611085841348903,-4.0,2,3
-9.91650621623754,-4.0,2,3
-9.404828558164581,-4.0,2,3
-9.383315029685562,-4.0,2,3
-9.13582733425426,-4.0,2,3
-9.039251958792722,-4.0,2,3
-10.590010967163618,-4.0,3,0
-10.042136836209902,-4.0,3,0
-9.677789981651317,-4.0,3,0
-9.460425024657603,-4.0,3,0
-9.31196701531233,-4.0,3,0
-9.233887979013769,-4.0,3,0
-10.666364252549618,-4.0,3,1
-9.9167711102249,-4.0,3,1
-9.413822445283882,-4.0,3,1
-9.245562168334564,-4.0,3,1
-9.1869401225937,-4.0,3,1
-9.032908861462285,-4.0,3,1
-10.578937441913062,-4.0,3,2
-9.76041153323394,-4.0,3,2
-9.671909511963632,-4.0,3,2
-9.514123847603411,-4.0,3,2
-9.489992628637491,-4.0,3,2
-9.11100503856512,-4.0,3,2
-10.66636425254959,-4.0,3,3
-9.916771110224872,-4.0,3,3
-9.413822445283905,-4.0,3,3
-9.245562168334542,-4.0,3,3
-9.186940122593724,-4.0,3,3
-9.032908861944524,-4.0,3,3
-10.699696926047393,-4.0,4,0
-10.289921627284285,-4.0,4,0
-9.881746994646798,-4.0,4,0
-9.638999389395643,-4.0,4,0
-9.242658198328211,-4.0,4,0
-9.181611520193018,-4.0,4,0
-10.611085841348842,-4.0,4,1
-9.916506216237611,-4.0,4,1
-9.404828558164608,-4.0,4,1
-9.3833150296856,-4.0,4,1
-9.13582733425983,-4.0,4,1
-9.03925196119059,-4.0,4,1
-10.777520700426354,-4.0,4,2
-9.502223933926063,-4.0,4,2
-9.465133696929776,-4.0,4,2
-9.41174000999716,-4.0,4,2
-9.335817910542943,-4.0,4,2
-9.226225448473494,-4.0,4,2
-10.61108584134888,-4.0,4,3
-9.91650621623757,-4.0,4,3
-9.404828558164594,-4.0,4,3
-9.383315029685578,-4.0,4,3
-9.135827334256499,-4.0,4,3
-9.03925196079952,-4.0,4,3
-11.230860895558932,-4.0,5,0
-9.817557999492061,-4.0,5,0
-9.441294797741792,-4.0,5,0
-9.256120972899438,-4.0,5,0
-9.142057146307137,-4.0,5,0
-9.108845458582618,-4.0,5,0
-10.624953597180351,-4.0,5,1
-9.747837025763518,-4.0,5,1
-9.53541778873212,-4.0,5,1
-9.312396182267499,-4.0,5,1
-9.309438732170559,-4.0,5,1
-9.036574861467425,-4.0,5,1
-10.574300956377707,-4.0,5,2
-9.740703181929735,-4.0,5,2
-9.537334022518998,-4.0,5,2
-9.42769749320211,-4.0,5,2
-9.140145541175542,-4.0,5,2
-9.05541418907914,-4.0,5,2
-10.62495359718034,-4.0,5,3
-9.747837025763522,-4.0,5,3
-9.535417788732207,-4.0,5,3
-9.312396182267495,-4.0,5,3
-9.309438732170499,-4.0,5,3
-9.036574861911534,-4.0,5,3
-8.2742856781241,-5.0,0,0
-7.7499975566664325,-5.0,0,0
-7.633327371850208,-5.0,0,0
-7.592840505700925,-5.0,0,0
-7.592689457318308,-5.0,0,0
-7.3148554391471245,-5.0,0,0
-8.713168442606953,-5.0,0,1
-8.145839708526408,-5.0,0,1
-7.556215157927859,-5.0,0,1
-7.366970789601812,-5.0,0,1
-7.197640232607726,-5.0,0,1
-7.126816897545036,-5.0,0,1
-8.729402860236963,-5.0,0,2
-8.262927385974196,-5.0,0,2
-7.818547512643366,-5.0,0,2
-7.630478990504053,-5.0,0,2
-7.393412293384039,-5.0,0,2
-7.324576440172041,-5.0,0,2
-8.713168442606937,-5.0,0,3
-8.145839708526362,-5.0,0,3
-7.556215157927864,-5.0,0,3
-7.366970789601759,-5.0,0,3
-7.19764023260967,-5.0,0,3
-7.126816897341833,-5.0,0,3
-8.663032642208831,-5.0,1,0
-7.763132497489279,-5.0,1,0
-7.570141072418457,-5.0,1,0
-7.380178302239879,-5.0,1,0
-7.323708411723015,-5.0,1,0
-7.116656606256217,-5.0,1,0
-8.704148920088114,-5.0,1,1
-8.05359916281723,-5.0,1,1
-7.570214803627261,-5.0,1,1
-7.449228483437894,-5.0,1,1
-7.276134942530037,-5.0,1,1
-7.128445111386583,-5.0,1,1
-8.790012138147828,-5.0,1,2
-8.313644424507837,-5.0,1,2
-7.894699381770703,-5.0,1,2
-7.5905729277471785,-5.0,1,2
-7.3420226723757445,-5.0,1,2
-7.338950749228926,-5.0,1,2
-8.704148920088068,-5.0,1,3
-8.053599162817122,-5.0,1,3
-7.57021480362724,-5.0,1,3
-7.449228483437858,-5.0,1,3
-7.276134942530013,-5.0,1,3
-7.12844511122447,-5.0,1,3
-8.705662647481088,-5.0,2,0
-7.793750507329379,-5.0,2,0
-7.744781359584074,-5.0,2,0
-7.551955789987678,-5.0,2,0
-7.3069536331265885,-5.0,2,0
-7.202808598679752,-5.0,2,0
-8.75803612681703,-5.0,2,1
-7.834889679171146,-5.0,2,1
-7.717881506495431,-5.0,2,1
-7.418734048078715,-5.0,2,1
-7.306987020722208,-5.0,2,1
-7.191786905788299,-5.0,2,1
-9.335817910545494,-5.0,2,2
